Designator,Mid X,Mid Y,Layer,Rotation
C1,93.47,62.7,B,180.0
C10,33.79,9.785,B,90.0
C11,44.365,7.6,B,0.0
C12,31.395,3.4,B,180.0
C13,44.365,3.4,B,0.0
C14,37.499,-1.885,B,270.0
C15,31.395,8.6,B,180.0
C16,31.395,10.0,B,180.0
C17,135.19,16.28,B,90.0
C18,-24.41,49.6,B,0.0
C19,-9.41,28.52,B,90.0
C2,41.365,-4.4,B,0.0
C20,77.89,23.28,B,90.0
C21,-39.31,49.6,B,0.0
C22,106.79,54.6,B,90.0
C23,-29.41,49.6,B,0.0
C24,-34.41,49.6,B,0.0
C25,27.79,-26.78,B,90.0
C26,53.49,7.28,B,90.0
C27,-38.01,28.5,B,90.0
C28,53.29,38.48,B,90.0
C29,106.29,23.2,B,90.0
C3,38.395,-4.4,B,180.0
C30,18.79,21.3,B,90.0
C31,77.99,54.52,B,90.0
C32,134.99,47.48,B,90.0
C4,92.57,57.0,B,0.0
C5,40.015,21.6,B,0.0
C6,38.88,12.085,B,90.0
C7,36.38,-1.885,B,270.0
C8,34.88,11.085,B,90.0
C9,37.88,12.085,B,90.0
D1,58.285,2.26,T,180.0
D10,58.285,33.46,T,180.0
D11,-39.45,53.94,T,90.0
D12,82.685,49.46,T,180.0
D13,-34.45,53.94,T,90.0
D14,111.485,49.56,T,180.0
D15,-29.45,53.94,T,90.0
D16,139.885,42.36,T,180.0
D2,-33.28,23.46,T,180.0
D3,82.685,18.26,T,180.0
D4,-4.645,23.46,T,180.0
D5,111.485,18.26,T,180.0
D6,23.59,16.26,T,180.0
D7,140.285,11.16,T,180.0
D8,32.39,-31.77,T,180.0
D9,-44.45,53.94,T,90.0
H1,149.99,-27.1,B,180.0
H2,-41.01,-27.1,B,180.0
H3,60.0,62.0,B,180.0
H4,-41.01,62.0,B,180.0
H5,149.99,62.0,B,180.0
H6,60.0,26.9,B,180.0
H7,60.0,-27.1,B,180.0
J1,97.09,70.9,B,0.0
J2,-13.72,49.99,B,270.0
R1,46.88,22.285,B,90.0
R2,48.38,22.285,B,270.0
R3,36.59,14.3,B,270.0
R4,35.09,14.3,B,270.0
R5,39.18,-2.515,B,270.0
R6,99.51,64.5,B,180.0
R7,94.87,64.6,B,0.0
SW1,46.99,27.3,B,180.0
SW10,-17.91,64.9,B,180.0
SW11,22.09,64.9,B,180.0
SW12,23.59,25.64,T,0.0
SW13,111.485,58.94,T,0.0
SW14,111.485,27.64,T,0.0
SW15,-7.91,64.9,B,180.0
SW16,42.09,64.9,B,180.0
SW17,139.885,51.74,T,0.0
SW18,140.285,20.54,T,0.0
SW19,2.09,64.9,B,180.0
SW2,58.285,42.84,T,0.0
SW20,32.39,-22.39,T,0.0
SW3,-33.28,32.84,T,0.0
SW4,58.285,11.64,T,0.0
SW5,-28.16,64.9,B,180.0
SW6,12.09,64.9,B,180.0
SW7,-4.645,32.84,T,0.0
SW8,82.685,58.84,T,0.0
SW9,82.685,27.64,T,0.0
U1,92.99,60.0,B,270.0
U2,43.6,17.6,B,180.0
U3,37.88,4.6,B,180.0
Y1,40.395,-7.5,B,90.0
